id_glosu	id_ucznia	id_kandydata
1	1739	11
2	1639	16
3	1746	11
4	1613	77
5	1702	9
6	1676	67
7	1616	50
8	1718	4
9	1723	53
10	1665	42
11	1679	36
12	1712	4
13	1662	42
14	1609	78
15	1747	1
16	1670	61
17	1716	40
18	1712	46
19	1620	42
20	1712	61
21	1695	75
22	1744	74
23	1752	58
24	1606	12
25	1631	25
26	1705	54
27	1605	31
28	1648	21
29	1648	53
30	1644	29
31	1723	2
32	1743	45
33	1750	18
34	1692	18
35	1612	12
36	1754	36
37	1611	3
38	1752	17
39	1652	64
40	1666	7
41	1605	78
42	1728	25
43	1734	60
44	1728	54
45	1729	13
46	1644	60
47	1604	25
48	1646	32
49	1623	5
50	1735	45
51	1662	76
52	1676	24
53	1754	55
54	1756	45
55	1740	38
56	1725	3
57	1744	60
58	1734	31
59	1683	23
60	1750	69
61	1673	27
62	1663	6
63	1631	12
64	1751	32
65	1602	69
66	1696	65
67	1632	57
68	1666	28
69	1627	36
70	1651	19
71	1674	1
72	1674	7
73	1693	52
74	1659	77
75	1672	74
76	1723	33
77	1705	45
78	1679	39
79	1642	78
80	1658	69
81	1680	3
82	1612	67
83	1717	49
84	1603	35
85	1610	13
86	1744	13
87	1606	35
88	1636	72
89	1701	59
90	1657	67
91	1665	2
92	1661	75
93	1658	66
94	1742	29
95	1707	61
96	1690	78
97	1644	75
98	1739	36
99	1626	65
100	1721	76
101	1683	71
102	1642	32
103	1658	66
104	1658	12
105	1680	30
106	1600	52
107	1647	6
108	1643	53
109	1710	50
110	1684	22
111	1620	11
112	1605	66
113	1698	23
114	1659	1
115	1653	47
116	1738	5
117	1607	51
118	1630	13
119	1606	49
120	1630	40
121	1745	46
122	1742	60
123	1633	3
124	1710	5
125	1738	23
126	1719	56
127	1673	53
128	1644	71
129	1677	29
130	1665	37
131	1646	51
132	1688	40
133	1709	16
134	1612	49
135	1667	37
136	1628	49
137	1744	48
138	1613	49
139	1620	73
140	1632	49
141	1648	65
142	1602	45
143	1628	68
144	1674	57
145	1746	8
146	1751	49
147	1721	33
148	1698	68
149	1642	1
150	1710	63
151	1658	47
152	1608	73
153	1726	51
154	1713	12
155	1665	33
156	1753	16
157	1605	25
158	1660	68
159	1609	23
160	1628	39
161	1697	64
162	1681	13
163	1616	28
164	1631	30
165	1612	33
166	1689	31
167	1630	39
168	1751	30
169	1740	68
170	1673	39
171	1742	74
172	1650	70
173	1656	55
174	1744	67
175	1677	58
176	1696	7
177	1621	16
178	1622	51
179	1692	15
180	1679	37
181	1621	66
182	1674	12
183	1711	43
184	1655	52
185	1731	15
186	1618	26
187	1737	51
188	1745	20
189	1705	27
190	1740	27
191	1663	73
192	1652	23
193	1686	18
194	1650	59
195	1633	47
196	1694	37
197	1754	21
198	1669	43
199	1720	4
200	1727	33
201	1714	8
202	1625	23
203	1712	67
204	1730	73
205	1680	58
206	1696	4
207	1692	51
208	1647	67
209	1700	11
210	1734	39
211	1638	49
212	1633	70
213	1732	70
214	1694	44
215	1736	49
216	1611	11
217	1653	78
218	1628	50
219	1601	69
220	1711	24
221	1716	47
222	1647	20
223	1723	74
224	1603	62
225	1687	6
226	1641	10
227	1730	52
228	1716	76
229	1660	43
230	1640	54
231	1600	22
232	1623	56
233	1754	63
234	1698	33
235	1653	61
236	1652	30
237	1664	44
238	1721	4
239	1728	17
240	1709	5
241	1684	29
242	1640	48
243	1665	1
244	1609	34
245	1740	9
246	1711	12
247	1605	34
248	1738	23
249	1736	30
250	1718	51
251	1687	18
252	1721	33
253	1641	71
254	1640	41
255	1693	23
256	1652	45
257	1614	1
258	1681	9
259	1740	26
260	1739	65
261	1722	74
262	1635	50
263	1727	9
264	1608	69
265	1699	19
266	1684	11
267	1736	30
268	1698	42
269	1709	70
270	1705	67
271	1615	73
272	1605	5
273	1705	27
274	1635	59
275	1746	71
276	1639	75
277	1639	28
278	1662	28
279	1752	11
280	1718	48
281	1724	9
282	1694	45
283	1725	24
284	1751	62
285	1698	48
286	1688	29
287	1755	38
288	1644	67
289	1635	40
290	1731	4
291	1682	64
292	1606	26
293	1698	14
294	1638	46
295	1684	55
296	1739	30
297	1657	21
298	1748	61
299	1729	30
300	1716	22
301	1655	68
302	1624	39
303	1709	10
304	1751	39
305	1755	46
306	1749	8
307	1745	46
308	1747	50
309	1736	63
310	1663	2
311	1621	71
312	1750	51
313	1690	7
314	1684	63
315	1607	31
316	1721	40
317	1653	25
318	1632	26
319	1737	47
320	1694	70
321	1671	10
322	1717	73
323	1658	8
324	1728	60
325	1643	40
326	1700	63
327	1620	75
328	1646	70
329	1628	43
330	1746	31
331	1692	21
332	1689	47
333	1616	21
334	1611	23
335	1643	62
336	1657	40
337	1700	37
338	1607	2
339	1646	53
340	1730	49
341	1662	60
342	1645	52
343	1615	46
344	1714	21
345	1620	50
346	1715	71
347	1636	53
348	1692	41
349	1632	39
350	1614	52
351	1746	38
352	1706	60
353	1733	71
354	1626	12
355	1627	30
356	1623	56
357	1643	64
358	1652	14
359	1700	26
360	1657	2
361	1727	53
362	1724	12
363	1653	8
364	1669	27
365	1660	50
366	1713	12
367	1727	3
368	1673	10
369	1705	47
370	1707	72
371	1699	73
372	1698	77
373	1621	73
374	1627	58
375	1708	56
376	1667	29
377	1602	20
378	1620	6
379	1714	22
380	1607	42
381	1622	14
