data_przyjazdu	data_wyjazdu	energia	woda	typ
2014-01-02	2014-01-11	39,35	1,04	5
2014-01-02	2014-01-23	3,79	0,10	6
2014-01-02	2014-01-14	3,88	0,10	6
2014-01-02	2014-01-22	6,43	0,17	5
2014-01-02	2014-01-27	8,39	0,22	2
2014-01-02	2014-01-30	11,42	0,30	2
2014-01-03	2014-01-31	5,64	0,15	5
2014-01-03	2014-01-06	10,59	0,28	5
2014-01-03	2014-01-30	4,25	0,11	2
2014-01-03	2014-01-21	5,64	0,15	4
2014-01-03	2014-01-30	5,78	0,15	5
2014-01-03	2014-01-30	2,29	0,06	4
2014-01-03	2014-01-26	5,23	0,14	2
2014-01-03	2014-01-10	5,67	0,15	2
2014-01-04	2014-01-10	5,64	0,15	2
2014-01-04	2014-01-11	4,25	0,11	4
2014-01-04	2014-01-21	6,58	0,17	6
2014-01-05	2014-01-22	6,43	0,17	3
2014-01-05	2014-01-23	5,67	0,15	5
2014-01-06	2014-01-15	4,66	0,12	2
2014-01-07	2014-01-24	2,01	0,05	4
2014-01-07	2014-01-31	3,57	0,09	3
2014-01-07	2014-01-10	2,29	0,06	5
2014-01-07	2014-01-10	2,72	0,07	4
2014-01-07	2014-01-12	3,73	0,10	3
2014-01-08	2014-01-26	6,58	0,17	3
2014-01-08	2014-01-25	6,58	0,17	2
2014-01-08	2014-01-19	5,67	0,15	5
2014-01-09	2014-02-04	9,13	0,24	2
2014-01-09	2014-01-19	14,31	0,38	6
2014-01-09	2014-02-05	3,79	0,10	5
2014-01-09	2014-01-27	6,23	0,16	5
2014-01-10	2014-01-20	3,57	0,09	6
2014-01-10	2014-01-13	5,67	0,15	6
2014-01-10	2014-01-28	8,72	0,23	5
2014-01-10	2014-01-15	4,66	0,12	3
2014-01-12	2014-01-20	5,67	0,15	3
2014-01-13	2014-01-15	7,06	0,19	2
2014-01-13	2014-01-22	5,67	0,15	5
2014-01-13	2014-02-01	6,34	0,17	3
2014-01-13	2014-01-17	7,31	0,19	3
2014-01-13	2014-01-29	6,75	0,18	3
2014-01-13	2014-02-10	3,57	0,09	2
2014-01-14	2014-01-25	8,54	0,22	2
2014-01-14	2014-01-16	8,95	0,24	4
2014-01-14	2014-02-07	6,34	0,17	6
2014-01-14	2014-02-02	12,23	0,32	3
2014-01-14	2014-01-29	8,72	0,23	5
2014-01-14	2014-02-01	16,55	0,44	6
2014-01-14	2014-01-17	7,55	0,20	2
2014-01-14	2014-01-29	5,78	0,15	2
2014-01-14	2014-01-19	8,83	0,23	3
2014-01-14	2014-01-16	8,89	0,23	4
2014-01-14	2014-01-18	2,72	0,07	6
2014-01-14	2014-02-05	11,42	0,30	2
2014-01-14	2014-02-05	5,23	0,14	2
2014-01-14	2014-01-18	6,58	0,17	4
2014-01-14	2014-02-09	9,74	0,26	4
2014-01-14	2014-01-20	6,75	0,18	6
2014-01-14	2014-02-01	16,83	0,44	4
2014-01-14	2014-02-06	10,79	0,28	3
2014-01-14	2014-01-30	10,19	0,27	5
2014-01-14	2014-02-08	10,93	0,29	6
2014-01-15	2014-01-22	9,74	0,26	5
2014-01-15	2014-01-30	14,31	0,38	6
2014-01-15	2014-01-24	7,35	0,19	4
2014-01-15	2014-01-31	9,74	0,26	5
2014-01-15	2014-01-27	14,13	0,37	2
2014-01-15	2014-01-19	12,01	0,32	3
2014-01-15	2014-01-30	13,07	0,34	6
2014-01-15	2014-01-20	14,00	0,37	5
2014-01-15	2014-02-01	13,02	0,34	2
2014-01-15	2014-01-19	6,75	0,18	5
2014-01-15	2014-01-31	3,88	0,10	2
2014-01-15	2014-01-18	4,66	0,12	6
2014-01-15	2014-01-22	2,29	0,06	4
2014-01-15	2014-01-26	7,31	0,19	6
2014-01-15	2014-02-12	6,23	0,16	6
2014-01-15	2014-01-24	3,88	0,10	2
2014-01-15	2014-01-23	8,51	0,22	2
2014-01-15	2014-01-18	8,51	0,22	4
2014-01-15	2014-02-06	9,13	0,24	2
2014-01-15	2014-01-19	3,88	0,10	2
2014-01-15	2014-02-05	11,42	0,30	2
2014-01-15	2014-01-22	16,83	0,44	4
2014-01-17	2014-02-04	5,67	0,15	2
2014-01-17	2014-01-28	5,67	0,15	3
2014-01-17	2014-01-27	2,01	0,05	5
2014-01-17	2014-02-08	2,01	0,05	5
2014-01-18	2014-01-30	6,43	0,17	5
2014-01-18	2014-01-27	3,88	0,10	5
2014-01-18	2014-01-22	8,72	0,23	4
2014-01-19	2014-02-15	6,58	0,17	5
2014-01-19	2014-02-15	6,43	0,17	2
2014-01-21	2014-02-06	11,44	0,30	3
2014-01-21	2014-01-28	10,59	0,28	4
2014-01-21	2014-02-17	11,44	0,30	6
2014-01-21	2014-02-16	10,20	0,27	6
2014-01-21	2014-02-14	19,54	0,51	5
2014-01-21	2014-02-04	10,93	0,29	4
2014-01-22	2014-01-29	6,43	0,17	5
2014-01-22	2014-02-11	5,67	0,15	4
2014-01-22	2014-02-12	14,13	0,37	5
2014-01-22	2014-02-19	5,47	0,14	3
2014-01-23	2014-02-16	8,39	0,22	2
2014-01-23	2014-02-18	3,79	0,10	3
2014-01-23	2014-01-25	6,23	0,16	6
2014-01-24	2014-02-05	6,34	0,17	6
2014-01-24	2014-02-14	3,57	0,09	6
2014-01-25	2014-02-11	4,66	0,12	4
2014-01-26	2014-02-22	13,07	0,34	3
2014-01-26	2014-02-21	13,81	0,36	5
2014-01-26	2014-02-03	11,69	0,31	2
2014-01-26	2014-02-13	8,84	0,23	4
2014-01-26	2014-02-20	16,94	0,45	5
2014-01-26	2014-01-30	13,82	0,36	4
2014-01-26	2014-02-19	9,46	0,25	6
2014-01-26	2014-02-14	8,89	0,23	6
2014-01-26	2014-02-03	5,57	0,15	4
2014-01-26	2014-01-30	7,35	0,19	2
2014-01-26	2014-02-11	12,23	0,32	4
